label,mode,tool,round,ms,status
stress,core-combined,oxlint,18,5666.098309000023,1
stress,core-combined,rslint,18,6946.809031000128,1
fixture,core-combined,eslint,18,2996.9013269999996,1
fixture,core-combined,rslint,18,850.5988940000534,1
stress,core-ts,rslint,18,4004.1436479999684,0
fixture,core-ts,oxlint,18,364.00863200007007,0
fixture,core-combined,rslint,19,844.1478959999513,1
stress,core-ts,eslint,19,25089.06186300004,0
stress,core-combined,oxlint,19,6000.652573000174,1
fixture,core-ts,eslint,19,2868.254278999986,0
fixture,core-ts,rslint,19,311.885569000151,0
fixture,core-combined,oxlint,19,672.1603289998602,1
stress,core-ts,rslint,19,3986.16596400016,0
stress,core-combined,eslint,19,26961.668340999866,1
stress,core-ts,oxlint,19,3674.2943019999657,0
stress,core-combined,rslint,19,7106.820612000069,1
fixture,core-combined,eslint,19,3006.6573329998646,1
fixture,core-ts,oxlint,19,353.8772999998182,0
